name,category,latitude,longitude,mood,budget,companion,area,time,description
George Town,heritage,13.0920917,80.2822426,misc,mid,solo,Nungambakkam,one hour,
The Great Kabab Factory,restaurant,12.9946821,80.1874068,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Tangerine,restaurant,13.0392554,80.2556216,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Ente Keralam,restaurant,13.0421141,80.2558968,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Suriyas,restaurant,13.0383186,80.2566708,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Reliance Fresh,supermarket,13.0390386,80.2508349,errands,low,family,T. Nagar,one hour,
Ananda,restaurant,13.0391641,80.247219,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Midnight Express,restaurant,13.0409358,80.2586973,romantic,mid,date,T. Nagar,two hours,Explore this exciting spot!
Lily Pond Shopping Complex,mall,13.0833302,80.272561,shop,high,friends,Nungambakkam,half a day,
Annai Maniammai Statue,monument,13.0800561,80.2628411,misc,mid,solo,Nungambakkam,one hour,
High Time,pub,13.0398535,80.2449822,fun,mid,friends,T. Nagar,half a day,
Vetrivel Cinemas,cinema,12.9799224,80.1822996,entertainment,mid,friends,Adyar,half a day,
Ambedkar Memorial,attraction,13.0193208,80.266984,touristy,low,family,Adyar,full day,
Triumph of Labour,monument,13.0641119,80.2837484,misc,mid,solo,Nungambakkam,one hour,
Gandhi,memorial,13.0433301,80.2800154,misc,mid,solo,T. Nagar,one hour,
Rajaji Memorial,attraction,13.0064804,80.2391664,touristy,low,family,Adyar,full day,
Bakthavachalam Memorial,attraction,13.0067142,80.2362341,touristy,low,family,Adyar,full day,
Kamaraj Memorial,attraction,13.006922,80.2355846,touristy,low,family,Adyar,full day,
Ganapathy Ram,cinema,13.0038872,80.2563577,entertainment,mid,friends,Adyar,half a day,
Saravana Bhavan,fast_food,13.0345162,80.2690082,casual,low,solo,T. Nagar,one hour,
S2 Theyagaraja,cinema,12.9895127,80.2563784,entertainment,mid,friends,Adyar,half a day,
Ashok Pillar,monument,13.0348481,80.2121781,misc,mid,solo,T. Nagar,one hour,
